kaupunginosa,huoneisto,talotyyppi,neliot,velaton_hinta,neliohinta,rakennusvuosi,kerros,hissi,kunto,tontti,energialuokka,apartment_type,postcode
Ullanlinna,"3h, k, kph, eri...",kt,"102,00",1076000,10549,1902,4/5,on,hyvä,oma,F2013,Kolmiot,00140
Ullanlinna,3h+k,kt,"65,00",425000,6538,1929,4/7,on,tyyd.,oma,F2018,Kolmiot,00140
Ullanlinna,2 h+iso keitti&...,kt,"112,00",900000,8036,1929,5/8,on,tyyd.,oma,E2018,Kolmiot,00140
Ullanlinna,"3h, avok, kph",kt,"70,00",545000,7786,1929,1/4,on,hyvä,oma,F2013,Kolmiot,00140
Ullanlinna,"3h, k, kph, las...",kt,"71,00",515000,7254,1961,5/7,on,hyvä,oma,F2013,Kolmiot,00140
Ullanlinna,"3-4h, k, kph, e...",kt,"104,00",830000,7981,1970,6/7,on,hyvä,oma,,Neljä huonetta tai enemmän,00140
Ullanlinna,5h+k+parveke,kt,"101,50",545000,5369,1935,2/6,on,huono,oma,F2007,Neljä huonetta tai enemmän,00140
Ullanlinna,"4h, avok., kph,...",kt,"84,50",765000,9053,1937,5/5,on,hyvä,oma,G2013,Neljä huonetta tai enemmän,00140
Ullanlinna,4h+k+kph+erill.wc,kt,"129,60",1370000,10571,1908,3/6,on,hyvä,oma,D2018,Neljä huonetta tai enemmän,00140
Punavuori,"1 h, alkovi, ke...",kt,"36,00",305000,8472,1972,6/6,on,hyvä,oma,G2013,Yksiöt,00150
Punavuori,"1h, avok., alk....",kt,"34,50",319000,9246,1911,7/7,on,hyvä,oma,F2013,Yksiöt,00150
Punavuori,1h+kk+wc/suihku,kt,"19,00",118000,6211,1938,3/6,on,huono,oma,F2018,Yksiöt,00150
Punavuori,"1h, avok, kph",kt,"25,00",203000,8120,1962,5/5,on,hyvä,oma,D2018,Yksiöt,00150
Punavuori,"1h, avok, kph, et",kt,"39,00",200000,5128,1938,1/4,on,tyyd.,oma,F2013,Yksiöt,00150
Punavuori,"1h, avok., iso ...",kt,"29,00",280500,9672,1912,,ei,tyyd.,oma,D2018,Yksiöt,00150
Ullanlinna,"1h,alkovi,kk,kph",kt,"31,00",280000,9032,1931,4/4,on,hyvä,oma,F2013,Yksiöt,00150
Ullanlinna,1h + kk + kph +...,kt,"26,50",230000,8679,1961,3/4,on,tyyd.,oma,D2018,Yksiöt,00150
Punavuori,"1h, avok, eteis...",kt,"24,00",229000,9542,1912,6/10,ei,hyvä,oma,D2018,Yksiöt,00150
Punavuori,"1h, avok, parveke",kt,"25,00",205000,8200,1962,4/5,on,hyvä,oma,,Yksiöt,00150
Punavuori,"1h, avok, kph, et",kt,"28,50",247000,8667,1960,6/8,on,hyvä,oma,D2018,Yksiöt,00150
