kaupunginosa,huoneisto,talotyyppi,neliot,velaton_hinta,neliohinta,rakennusvuosi,kerros,hissi,kunto,tontti,energialuokka,apartment_type,postcode
Tapaninvainio,"1h, kk, kh, ter...",kt,"24,00",64000,2667,1964,1/2,ei,tyyd.,oma,G2013,Yksiöt,00780
,1h+kt,ok,"20,00",178000,8900,2022,1/1,ei,hyvä,oma,B2018,Yksiöt,00780
Tapaninvainio,2h+k+ kph/wc+s+...,kt,"53,50",175000,3271,1987,,ei,hyvä,oma,E2018,Kaksiot,00780
Tapaninvainio,"2h, k, s",rt,"57,00",150000,2632,1989,1/1,ei,huono,oma,,Kaksiot,00780
Tapaninvainio,"2h, avok, pesuh...",rt,"52,00",196000,3769,1987,1/1,ei,hyvä,oma,E2018,Kaksiot,00780
Tapaninvainio,"2h, k, kph/saun...",rt,"55,50",164000,2955,1978,1/1,ei,tyyd.,oma,,Kaksiot,00780
Tapaninkylä,2h+k+kph+erill....,kt,"50,70",116000,2288,1971,2/3,ei,hyvä,oma,,Kaksiot,00780
Tapaninvainio,"2h, k, kph, s, wc",rt,"60,00",190000,3167,1987,1/1,ei,tyyd.,vuokra,D2013,Kaksiot,00780
Tapaninvainio,2h+k+kph+s+parv.,kt,"45,50",130000,2857,1987,2/2,ei,hyvä,oma,E2018,Kaksiot,00780
"Tapaninkylä, tapaninvainio",2h+k+kph/sn+las...,kt,"58,50",192000,3282,1994,1/3,ei,hyvä,oma,F2013,Kaksiot,00780
Tapaninvainio,"2 h, k, kph, ra...",kt,"59,00",175000,2966,1966,2/2,ei,hyvä,oma,C2018,Kaksiot,00780
Tapaninvainio,2h+k+s,kt,"41,00",162000,3951,1982,3/3,ei,hyvä,oma,C2018,Kaksiot,00780
Tapaninvainio,3H+K,kt,"77,00",123000,1597,1971,2/3,ei,tyyd.,oma,E2007,Kolmiot,00780
Ylä-malmi,3h+k+s+parveke,kt,"75,50",130000,1722,1981,2/4,on,tyyd.,oma,F2013,Kolmiot,00780
"Tapaninkylä, tapaninvainio",3h+k+kph/s+et+p...,kt,"71,50",205000,2867,1990,1/2,ei,hyvä,vuokra,F2013,Kolmiot,00780
Tapaninvainio,3h+k+s+läm...,rt,"73,50",199000,2707,1989,1/1,ei,tyyd.,oma,,Kolmiot,00780
Tapaninvainio,"3h, k, kph, s, ...",rt,"83,50",304000,3641,1984,1/1,ei,hyvä,oma,D2018,Kolmiot,00780
Tapaninvainio,"3h, k, kph/s, e...",rt,"88,00",291000,3307,1979,1/1,ei,hyvä,oma,F2013,Kolmiot,00780
Tapaninvainio,"3h, k, wc, kph,...",rt,"72,00",255000,3542,1980,1/1,ei,hyvä,oma,G2013,Kolmiot,00780
Tapaninvainio,3h+k+s,rt,"80,00",265000,3313,1986,1/1,ei,hyvä,vuokra,,Kolmiot,00780
Tapaninvainio,"3h, k, eril. wc...",rt,"86,50",270000,3121,1984,1/2,ei,hyvä,oma,E2013,Kolmiot,00780
Tapaninvainio,"3h, k, s, kylpy...",rt,"80,00",196000,2450,1979,1/1,ei,tyyd.,oma,,Kolmiot,00780
Tapaninvainio,"3h, k, kph, s, ...",rt,"78,00",265000,3397,1985,1/1,ei,hyvä,oma,E2018,Kolmiot,00780
Tapaninvainio,3h+k+s,rt,"80,00",260500,3256,1986,1/1,ei,hyvä,vuokra,,Kolmiot,00780
Tapaninvainio,3h+k+kph+s+tera...,rt,"86,00",278000,3233,1976,1/1,ei,hyvä,oma,E2018,Kolmiot,00780
Tapaninvainio,"4 h, k, kph x 2...",ok,"125,00",280000,2240,1989,-1/2,ei,tyyd.,vuokra,,Neljä huonetta tai enemmän,00780
Tapaninvainio,"4h, k, s, kph, ...",rt,"101,00",267000,2644,1990,1/2,ei,tyyd.,oma,E2018,Neljä huonetta tai enemmän,00780
Tapaninvainio,"4mh, k, rt, oh,...",ok,"117,00",540000,4615,2001,1/2,ei,hyvä,oma,D2018,Neljä huonetta tai enemmän,00780
Tapaninvainio,"4h, keittiö...",ok,"136,00",376000,2765,1992,,ei,tyyd.,oma,,Neljä huonetta tai enemmän,00780
Tapaninvainio,"5 h, k, rt, khh...",ok,"180,00",680000,3778,2016,1/2,ei,hyvä,oma,C2013,Neljä huonetta tai enemmän,00780
Tapaninvainio,"5h, k, kph, s, ...",rt,"107,00",260000,2430,1998,1/1,ei,tyyd.,oma,E2018,Neljä huonetta tai enemmän,00780
Tapaninvainio,5h+k+s+vh+var+v...,rt,"125,00",340000,2720,1990,-1/2,ei,tyyd.,oma,E,Neljä huonetta tai enemmän,00780
Tapaninvainio,"5h, k, kph/, w...",rt,"131,00",334000,2550,1976,1/2,ei,tyyd.,oma,E,Neljä huonetta tai enemmän,00780
Tapaninvainio,"4-5 h, k, kh/s,...",rt,"108,00",330000,3056,1974,1/1,ei,hyvä,oma,,Neljä huonetta tai enemmän,00780
Tapaninvainio,"4h, kt, khh/kph...",rt,"81,50",440000,5399,2019,,ei,hyvä,oma,B2018,Neljä huonetta tai enemmän,00780
Tapaninvainio,"4h, k, wc, kph,...",ok,"97,00",350000,3608,2008,,ei,hyvä,vuokra,E2013,Neljä huonetta tai enemmän,00780
Tapaninvainio,"4h,k,s/ph,takka...",ok,"163,00",429000,2632,1990,1/2,ei,hyvä,oma,E2013,Neljä huonetta tai enemmän,00780
Tapaninvainio,4h+k+s+khh+eril...,ok,"115,00",365000,3174,1989,,ei,tyyd.,oma,,Neljä huonetta tai enemmän,00780
Tapaninvainio,"ak: oh, avokeit...",rt,"103,00",492000,4777,2019,1/2,ei,hyvä,oma,B2018,Neljä huonetta tai enemmän,00780
Tapaninvainio,"4h, k, parveke,...",rt,"184,00",469000,2549,1979,-1/2,ei,hyvä,oma,E2013,Neljä huonetta tai enemmän,00780
Tapaninkylä,"4h, k, saunaos....",rt,"112,00",315000,2813,1972,1/1,ei,tyyd.,oma,,Neljä huonetta tai enemmän,00780
Helsinki,2h+kk+s,kt,"45,50",215000,4725,2011,3/4,on,hyvä,oma,D2018,Kaksiot,00790
Viikki,"2h, avok, kph, ...",kt,"51,50",190000,3689,2012,4/4,on,hyvä,vuokra,C2013,Kaksiot,00790
Viikki,"2h, kk, kph, la...",kt,"50,00",228000,4560,2015,3/4,on,hyvä,,C2013,Kaksiot,00790
Viikki,"2h, kk",kt,"53,00",250000,4717,2015,4/4,on,hyvä,vuokra,C2013,Kaksiot,00790
Viikki,"2h, k, kph/saun...",kt,"53,50",240000,4486,2018,4/4,on,hyvä,oma,C2013,Kaksiot,00790
Viikki,"2h, kk, kph, s,...",kt,"51,50",219000,4252,2005,2/4,on,tyyd.,oma,D2013,Kaksiot,00790
Viikki,"2h,avok,kph,las...",kt,"48,00",190000,3958,2013,5/6,on,hyvä,vuokra,D2018,Kaksiot,00790
"Viikki, latokartano","2h, avok, kph, ...",kt,"49,00",209000,4265,2005,2/4,on,tyyd.,oma,D2013,Kaksiot,00790
Viikki,"2 h, kt, kh/wc,...",kt,"56,00",210000,3750,2015,1/4,on,hyvä,,C2013,Kaksiot,00790
Viikki,"3h, k, sauna, k...",kt,"71,00",335000,4718,2018,2/4,on,hyvä,oma,C2013,Kolmiot,00790
Viikki,"3h, k, kph, las...",kt,"74,50",290000,3893,2001,1/4,on,hyvä,vuokra,D2018,Kolmiot,00790
Viikki,"3h, k, s/kph, e...",kt,"80,00",277000,3463,2009,1/5,on,hyvä,vuokra,D2018,Kolmiot,00790
Viikki,"3h, k, s/kph, e...",kt,"80,00",285000,3563,2009,1/5,on,hyvä,vuokra,D2007,Kolmiot,00790
"Latokartano, viikki",3h+avok.+kph/s+...,kt,"65,50",292000,4458,2014,3/4,on,hyvä,oma,B2018,Kolmiot,00790
"Viikki, latokartano","2h, työhuo...",rt,"73,00",10000,137,2011,2/2,ei,hyvä,oma,C2018,Kolmiot,00790
"Viikki, latokartano","2h, työhuo...",rt,"73,00",339000,4644,2011,2/2,ei,hyvä,oma,C2018,Kolmiot,00790
Viikki,3h+k+s,kt,"87,00",315000,3621,2008,3/4,on,hyvä,vuokra,,Kolmiot,00790
Viikki,"3h, k, sauna/kp...",kt,"73,50",320500,4361,2004,4/4,on,tyyd.,oma,D2013,Kolmiot,00790
Viikki,"5h, k, s/kph, e...",rt,"126,00",595000,4722,2014,1/2,ei,hyvä,oma,C2013,Neljä huonetta tai enemmän,00790
Viikki,"4h, avokeitti&#...",kt,"79,00",315746,3997,2015,1/4,on,hyvä,,C2018,Neljä huonetta tai enemmän,00790
Viikki,"4h, k, rt, eril...",rt,"102,00",462000,4529,2002,1/2,ei,hyvä,vuokra,C2013,Neljä huonetta tai enemmän,00790
Viikki,"4h, k, kph, s, ...",kt,"103,00",369000,3583,2007,4/4,on,hyvä,vuokra,E2013,Neljä huonetta tai enemmän,00790
Viikki,4h+k+kph+s+wc+v...,rt,"89,00",429000,4820,2014,2/2,ei,hyvä,oma,C2013,Neljä huonetta tai enemmän,00790
Latokartano,"4h, k, kph, wc,...",kt,"96,00",379000,3948,2013,5/6,on,hyvä,vuokra,D2018,Neljä huonetta tai enemmän,00790
Viikki,4h+k+2kph+wc+kh...,rt,"108,00",445000,4120,2005,1/2,ei,hyvä,oma,D2013,Neljä huonetta tai enemmän,00790
Viikki,4h+avok+kph+s+e...,kt,"81,00",325000,4012,2012,1/5,on,hyvä,vuokra,C2013,Neljä huonetta tai enemmän,00790
Viikki,"4h, k, s/kph/wc...",kt,"91,00",375000,4121,2000,6/6,on,hyvä,vuokra,G2013,Neljä huonetta tai enemmän,00790
Laajasalo,"1h,kk, parveke",kt,"33,50",98000,2925,1975,3/3,ei,tyyd.,oma,F2013,Yksiöt,00840
"Laajasalo, yliskylä",1h+kk+kph,kt,"29,50",128200,4346,1974,2/8,on,tyyd.,oma,E2018,Yksiöt,00840
Laajasalo,"1h, kk, kh (Yj....",kt,"29,50",112000,3797,1973,5/9,on,tyyd.,oma,D2018,Yksiöt,00840
Laajasalo,"1h, kk, kph/wc,...",kt,"24,50",135000,5510,1965,3/3,on,hyvä,oma,E2018,Yksiöt,00840
Yliskylä,"1h,kk,kph,vh,pa...",kt,"33,00",90000,2727,1976,5/5,on,huono,oma,F2007,Yksiöt,00840
Laajasalo,1 h+kk,kt,"23,50",122550,5215,1965,4/4,on,tyyd.,oma,E2018,Yksiöt,00840
Laajasalo,"1 h, kk, kph, p",kt,"25,00",120000,4800,1966,3/5,on,tyyd.,oma,E2018,Yksiöt,00840
Laajasalo,tupakeittiö...,kt,"32,50",118000,3631,2002,3/3,on,tyyd.,vuokra,E2007,Kaksiot,00840
"Laajasalo, jollas","2 h, k, kph, vh...",rt,"52,50",240000,4571,1986,1/1,ei,hyvä,oma,,Kaksiot,00840
Laajasalo,2h + k + kph + ...,kt,"56,00",208000,3714,1971,3/4,on,tyyd.,oma,E2018,Kaksiot,00840
Laajasalo,"2h, k, kph, las...",kt,"48,50",140500,2897,1973,3/9,on,tyyd.,oma,F2013,Kaksiot,00840
Laajasalo,"2h, k",kt,"52,50",228505,4352,1971,2/3,on,hyvä,oma,E2007,Kaksiot,00840
Laajasalo,2h+kk,kt,"49,00",165000,3367,1975,3/3,ei,hyvä,oma,E2018,Kaksiot,00840
Laajasalo,2h + kk + alkov...,kt,"43,50",179000,4115,1967,1/4,on,hyvä,vuokra,C2018,Kaksiot,00840
"Laajasalo, yliskylä","2h, k, kph, las...",kt,"48,50",140000,2887,1975,8/10,on,tyyd.,oma,D2018,Kaksiot,00840
Laajasalo,"2h, k, kph, las...",kt,"51,50",220000,4272,1965,1/3,on,hyvä,oma,F2013,Kaksiot,00840
Laajasalo,2h+k+s,kt,"70,00",398000,5686,1972,2/6,on,hyvä,oma,D2018,Kaksiot,00840
Yliskylä,"2h, k, s, lasit...",kt,"59,00",225000,3814,2012,7/7,on,hyvä,vuokra,A2007,Kaksiot,00840
"Laajasalo, yliskylä","2h, k, kph, las...",kt,"48,50",155000,3196,1973,5/9,on,hyvä,oma,F2013,Kaksiot,00840
Laajasalo,2h+avok+kph+s+w...,kt,"67,00",420000,6269,1972,3/6,on,hyvä,oma,D2018,Kaksiot,00840
Yliskylä,"2h,kt,kph,khh,t,p",kt,"43,00",245000,5698,2020,1/4,on,hyvä,oma,C2013,Kaksiot,00840
Laajasalo,"3h, avokeitti&#...",kt,"59,50",259157,4356,2003,4/4,on,hyvä,vuokra,D2007,Kolmiot,00840
"Laajasalo, yliskylä","3h, k, kph, las...",kt,"69,00",284500,4123,1974,3/3,ei,hyvä,oma,D2018,Kolmiot,00840
Laajasalo,3h+k+s+wc+eteis...,rt,"85,00",333000,3918,1980,1/2,ei,hyvä,vuokra,D2013,Kolmiot,00840
Laajasalo,"3h, k, kph, vh,...",kt,"68,50",234000,3416,1973,8/10,on,hyvä,oma,D2018,Kolmiot,00840
Laajasalo,"3h, k, kph, vh,...",kt,"72,00",285000,3958,1966,3/3,ei,hyvä,vuokra,E2013,Kolmiot,00840
Laajasalo,"3h, k, lasitett...",kt,"63,00",182000,2889,1965,3/4,on,tyyd.,oma,E2018,Kolmiot,00840
Laajasalo,"2-3h, parvi, ke...",rt,"58,50",259000,4427,1978,1/1,ei,hyvä,vuokra,D2018,Kolmiot,00840
Laajasalo,3h+k+kph+lasite...,kt,"63,00",180000,2857,1965,2/4,on,tyyd.,oma,E2018,Kolmiot,00840
Laajasalo,"2 h, k, rt, 2 k...",rt,"131,00",530000,4046,1987,1/2,ei,tyyd.,oma,D2013,Kolmiot,00840
Yliskylä,3h+k+vh+kph+s+e...,rt,"86,00",370000,4302,1980,1/2,ei,hyvä,oma,C2018,Kolmiot,00840
Laajasalo,3h+k+kph+s+ter.,rt,"88,50",317000,3582,1978,2/2,ei,tyyd.,vuokra,D2018,Kolmiot,00840
Laajasalo,3h+k+s,kt,"77,00",259978,3376,1980,2/2,ei,tyyd.,oma,F2013,Kolmiot,00840
"Laajasalo, yliskylä","3h, k, kph, vh,...",kt,"69,00",236000,3420,1966,5/5,on,hyvä,oma,E2018,Kolmiot,00840
"Laajasalo, yliskylä",3h+k+et+kph/s+w...,rt,"78,50",306000,3898,1978,1/2,ei,hyvä,vuokra,E2013,Kolmiot,00840
Helsinki,"3h, k, kph, las...",kt,"64,00",261500,4086,1972,3/4,on,tyyd.,oma,F2013,Kolmiot,00840
Laajasalo,"3 h,k kph,vh,la...",kt,"69,00",165000,2391,1973,2/9,on,,oma,D2018,Kolmiot,00840
"Yliskylä, laajasalo","3h, k, kph, las...",kt,"59,50",158000,2655,1976,2/3,ei,tyyd.,oma,F2013,Kolmiot,00840
Laajasalo,"3h,k,s, lasitet...",kt,"73,00",335800,4600,2009,5/7,on,hyvä,oma,D2018,Kolmiot,00840
Laajasalo,"4h, k, vaatehuo...",rt,"97,50",271000,2779,1977,1/2,ei,tyyd.,vuokra,D2007,Neljä huonetta tai enemmän,00840
Laajasalo,"4h, k, saunaosa...",rt,"92,00",450000,4891,1987,1/1,ei,hyvä,oma,D2018,Neljä huonetta tai enemmän,00840
Laajasalo,"5h, k, s, th, t...",rt,"95,00",498000,5242,1981,-1/2,ei,hyvä,oma,B2018,Neljä huonetta tai enemmän,00840
Laajasalo,"4 h, k, kph, s,...",rt,"102,00",369000,3618,1977,1/2,ei,,oma,E2013,Neljä huonetta tai enemmän,00840
"Laajasalo, yliskylä",5-6h+k+kph/s+vh...,rt,"116,00",421500,3634,1980,1/2,ei,hyvä,oma,,Neljä huonetta tai enemmän,00840
Laajasalo/yliskylä,"5h, k, ph/s, kp...",kt,"95,00",197000,2074,1975,2/10,on,tyyd.,oma,D2018,Neljä huonetta tai enemmän,00840
"Yliskylä, laajasalo",4h + ruok.tila ...,rt,"140,50",520000,3701,1980,2/2,ei,hyvä,oma,D2018,Neljä huonetta tai enemmän,00840
Yliskylä,"5 h, k, 2 wc, 2...",kt,"95,00",260000,2737,1975,7/10,on,tyyd.,oma,E2013,Neljä huonetta tai enemmän,00840
Laajasalo,"4 h, k, kph, wc...",kt,"98,50",320000,3249,1966,2/3,ei,hyvä,vuokra,E2013,Neljä huonetta tai enemmän,00840
Laajasalo,"4h, k, kph, s, ...",rt,"93,00",370000,3978,1981,1/1,ei,tyyd.,oma,,Neljä huonetta tai enemmän,00840
Laajasalo,"4 h, k, s, eril...",rt,"101,50",332000,3271,1977,2/2,ei,tyyd.,oma,E2013,Neljä huonetta tai enemmän,00840
Yliskylä,"4 h, k, kph, s,...",rt,"92,00",400000,4348,1981,1/2,ei,hyvä,oma,,Neljä huonetta tai enemmän,00840
Laajasalo,4h+k+kph/wc+eri...,kt,"80,00",318500,3981,1965,3/3,on,tyyd.,oma,D2018,Neljä huonetta tai enemmän,00840
Laajasalo,4h+k,kt,"84,00",180000,2143,1975,2/3,ei,tyyd.,oma,E2018,Neljä huonetta tai enemmän,00840
Yliskylä,"4h, k, kph, wc,...",kt,"82,50",340000,4121,1973,1/3,ei,hyvä,oma,E2013,Neljä huonetta tai enemmän,00840
Yliskylä,4h+k+kph+wc+las...,kt,"84,00",257000,3060,1974,2/3,ei,tyyd.,oma,D2018,Neljä huonetta tai enemmän,00840
"Yliskylä, laajasalo","4h, k, kph, wc,...",kt,"84,00",350000,4167,1974,3/3,ei,hyvä,oma,D2018,Neljä huonetta tai enemmän,00840
Laajasalo,"3 h, k, kh, s, ...",rt,"96,00",278000,2896,1978,1/1,ei,tyyd.,oma,,Neljä huonetta tai enemmän,00840
Laajasalo,"4h,k",kt,"116,00",450000,3879,1972,4/4,ei,hyvä,oma,F2018,Neljä huonetta tai enemmän,00840
Laajasalo,5h+k+kph+erill....,kt,"112,00",346000,3089,1966,1/5,on,hyvä,oma,F2018,Neljä huonetta tai enemmän,00840
"Laajasalo, yliskylä",4-5h+k+wc/kph+k...,rt,"110,00",413000,3755,1986,1/2,ei,tyyd.,vuokra,D2013,Neljä huonetta tai enemmän,00840
Laajasalo,4h+k+kph+erill....,kt,"80,00",305000,3813,1965,1/3,on,hyvä,oma,D2018,Neljä huonetta tai enemmän,00840
"Laajasalo, yliskylä",4h+k+kph+wc+vh+...,kt,"82,50",270000,3273,1973,3/3,ei,hyvä,oma,E2013,Neljä huonetta tai enemmän,00840
"Yliskylä, laajasalo","•4h, avokeitti&...",rt,"123,50",481608,3900,1976,2/2,ei,hyvä,oma,E2013,Neljä huonetta tai enemmän,00840
Yliskylä,4h+k+vh+kph+s+2...,rt,"99,00",418000,4222,1980,1/2,ei,hyvä,oma,C2018,Neljä huonetta tai enemmän,00840
"Yliskylä, laajasalo","3mh, avokeitti&...",rt,"94,50",375000,3968,1979,1/2,ei,tyyd.,oma,D2018,Neljä huonetta tai enemmän,00840
"Laajasalo, yliskylä","4h, k, kph, wc,...",kt,"79,50",245000,3082,1973,7/10,on,hyvä,oma,D2018,Neljä huonetta tai enemmän,00840
Yliskylä,4+k+kph+vh+lasi...,kt,"84,00",250000,2976,1974,3/3,ei,tyyd.,oma,,Neljä huonetta tai enemmän,00840
"Yliskylä, laajasalo","5h, k, kph, eri...",kt,"95,00",387000,4074,1974,2/9,on,hyvä,oma,E2018,Neljä huonetta tai enemmän,00840
Laajasalo,"5h, th, khh, ph...",rt,"144,50",536000,3709,1996,1/2,ei,hyvä,oma,E2018,Neljä huonetta tai enemmän,00840
,"5h, avok, khh, ...",ok,"119,00",705000,5924,2018,1/2,ei,hyvä,oma,B2013,Neljä huonetta tai enemmän,00840
"Jollas, laajasalo","4h, k, kph, sau...",rt,"98,50",320000,3249,1983,1/2,ei,hyvä,vuokra,C2018,Neljä huonetta tai enemmän,00850
"Jollas, laajasalo","6h, avokeitti&#...",rt,"161,00",700000,4348,1989,1/2,ei,hyvä,oma,D2018,Neljä huonetta tai enemmän,00850
Jollas,Asunto A: 5h+k+...,ok,"341,00",520000,1525,2000,,ei,tyyd.,oma,E2018,Neljä huonetta tai enemmän,00850
Jollas,5h+k+rt+kph+wc+...,ok,"279,00",752000,2695,2004,3/3,ei,hyvä,oma,B2018,Neljä huonetta tai enemmän,00850
Jollas,"6h, k, 2 kph, k...",ok,"186,00",397500,2137,1979,-1/2,ei,tyyd.,oma,,Neljä huonetta tai enemmän,00850
,"Oh, k, 4mh, hal...",ok,"148,60",596000,4011,1997,1/2,ei,tyyd.,oma,,Neljä huonetta tai enemmän,00890
,"4h, k, kph, s, ...",ok,"148,00",517500,3497,1997,-1/1,ei,tyyd.,oma,D2018,Neljä huonetta tai enemmän,00890
,"5 h, k, khh, ph...",ok,"149,50",475000,3177,1999,,ei,tyyd.,oma,,Neljä huonetta tai enemmän,00890
,"5h, k, lasikuis...",ok,"218,00",454000,2083,2002,2/2,ei,tyyd.,oma,,Neljä huonetta tai enemmän,00890
,"Oh, avok, 4 mh,...",ok,"228,00",520000,2281,2002,-1/3,ei,hyvä,oma,C2018,Neljä huonetta tai enemmän,00890
Puotinharju,"2h, k, kph, vh,...",kt,"51,00",138578,2717,1963,3/4,on,tyyd.,vuokra,E2018,Kaksiot,00900
Puotinharju,"2h, k, kph, vh,...",kt,"55,50",172000,3099,1964,1/6,on,hyvä,vuokra,F2013,Kaksiot,00900
Puotinharju,2h+k+parveke,kt,"52,00",130000,2500,1963,3/7,on,huono,vuokra,,Kaksiot,00900
Puotinharju,"3h,k,parv.",kt,"76,00",115000,1513,1964,1/7,on,huono,vuokra,D2018,Kolmiot,00900
Puotinharju,3h+k+kph+vh+las...,kt,"72,00",135000,1875,1963,2/7,on,huono,vuokra,D2018,Kolmiot,00900
Puotinharju,3h+k,kt,"67,00",175000,2612,1963,1/3,ei,hyvä,vuokra,E2018,Kolmiot,00900
"Puotinharju, vartiokylä",3h+k+kph+las. p...,kt,"67,80",179000,2640,1965,2/3,ei,hyvä,vuokra,G2013,Kolmiot,00900
Puotinharju,"3 h, k, kph, p ...",kt,"67,50",149000,2207,1963,7/8,on,,vuokra,E2018,Kolmiot,00900
Puotinharju,3h+k+kph+vh+las...,kt,"72,00",183000,2542,1963,7/7,on,tyyd.,vuokra,D2018,Kolmiot,00900
Vartiokylä,"4h, k, kph, s, ...",kt,"91,00",221000,2429,1988,3/3,ei,tyyd.,vuokra,D2013,Neljä huonetta tai enemmän,00900
Puotinharju,"4h, k, las. par...",kt,"81,00",197000,2432,1963,4/7,on,tyyd.,vuokra,C2018,Neljä huonetta tai enemmän,00900
"Vartiokylä, puotinharju",4h+k+kph+parvek...,kt,"84,00",152000,1810,1963,3/3,ei,tyyd.,vuokra,E2013,Neljä huonetta tai enemmän,00900
Puotinharju,4h+k+kph+vh+p,kt,"88,50",185000,2090,1963,2/3,ei,huono,vuokra,E2007,Neljä huonetta tai enemmän,00900
Puotinharju,"4 h, k, kph, vh, p",kt,"94,50",205000,2169,1963,4/8,on,tyyd.,vuokra,E2018,Neljä huonetta tai enemmän,00900
Puotila,"1h, kk, kh",kt,"29,00",100000,3448,1961,3/3,ei,tyyd.,vuokra,D2018,Yksiöt,00910
Puotila,"1h, kk, kph, ra...",kt,"26,00",72000,2769,1961,2/4,ei,huono,vuokra,E2007,Yksiöt,00910
Puotila,"1h, kk, kph, pa...",kt,"33,00",108000,3273,1961,1/3,ei,hyvä,vuokra,E2007,Yksiöt,00910
Puotila,1h+kk+kph+parve...,kt,"33,00",105000,3182,1960,1/3,ei,huono,vuokra,C2018,Yksiöt,00910
Puotila,"1h, kk, alk, vh...",kt,"27,00",109000,4037,1961,2/3,ei,hyvä,vuokra,,Yksiöt,00910
Puotila,"1h, kk",kt,"33,00",106000,3212,1960,3/3,ei,hyvä,vuokra,D2007,Yksiöt,00910
Puotila,"2 h, avok, kph,...",kt,"48,50",130000,2680,2000,2/7,on,hyvä,vuokra,D2018,Kaksiot,00910
Puotila,"2h, k, kph, par...",kt,"46,00",156772,3408,1961,1/3,ei,hyvä,vuokra,E2007,Kaksiot,00910
Puotila,2h+k,kt,"55,00",144000,2618,1961,3/3,ei,hyvä,vuokra,D2018,Kaksiot,00910
"Puotila, puotinharju","2h, k, kph, las...",kt,"53,00",173990,3283,1962,1/3,ei,tyyd.,oma,E2018,Kaksiot,00910
Puotila,"2h, kk, vh, kph...",kt,"47,00",165000,3511,1962,2/3,ei,tyyd.,oma,E2018,Kaksiot,00910
Puotila,"2h, k, kph, las...",kt,"52,00",160000,3077,1966,1/3,ei,tyyd.,oma,F2018,Kaksiot,00910
Puotila,"2h, k, kph, las...",kt,"53,20",155000,2914,1961,1/3,ei,hyvä,vuokra,E2007,Kaksiot,00910
Puotila,"2h, kk, vh, las...",kt,"53,00",170000,3208,1962,1/3,ei,tyyd.,oma,F,Kaksiot,00910
Puotila,2h+k+kph+erill....,kt,"57,50",150000,2609,1962,3/3,ei,tyyd.,vuokra,E2018,Kaksiot,00910
Puotila,2h+k,kt,"48,50",172000,3546,1961,2/3,ei,hyvä,vuokra,E2018,Kaksiot,00910
Puotila,"2h,k",kt,"53,00",165500,3123,1962,2/3,ei,tyyd.,oma,E2018,Kaksiot,00910
Puotila,"2h, k, kph (ikk...",kt,"50,50",190000,3762,1966,1/3,ei,hyvä,oma,F2018,Kaksiot,00910
Puotila,2h+k,kt,"42,00",152000,3619,1971,2/3,ei,tyyd.,oma,E2018,Kaksiot,00910
Puotila,2h+k (yj:n muka...,kt,"70,00",246500,3521,1963,,on,hyvä,vuokra,E2018,Kaksiot,00910
Puotila,2h+k+vh+kph+par...,kt,"55,00",177000,3218,1962,3/3,ei,hyvä,oma,E2018,Kaksiot,00910
Puotila,"2h, avok, kph, ...",kt,"58,50",131600,2250,1986,3/4,ei,huono,oma,D2018,Kaksiot,00910
Puotila,3h + k + kph + ...,kt,"66,00",230000,3485,1961,3/3,ei,hyvä,vuokra,C2018,Kolmiot,00910
Puotila,"3h, k, kph, las...",kt,"65,00",232000,3569,1961,3/3,ei,hyvä,vuokra,D2018,Kolmiot,00910
Puotila,"3-4h, k, kh, p ...",kt,"72,00",238000,3306,1961,2/4,ei,hyvä,vuokra,E2013,Kolmiot,00910
Puotila,3h+et+k+p,kt,"58,00",166000,2862,1965,3/3,ei,huono,oma,E2007,Kolmiot,00910
Puotila,"5h, k, vh, eril...",kt,"95,50",285000,2984,1963,4/4,on,tyyd.,vuokra,E2018,Neljä huonetta tai enemmän,00910
Puotila,"4h, k, vh, wc, ...",kt,"83,00",305000,3675,1963,1/4,on,hyvä,vuokra,E2018,Neljä huonetta tai enemmän,00910
Puotila,3-4h+k,kt,"92,00",317000,3446,1962,2/3,ei,hyvä,oma,E2018,Neljä huonetta tai enemmän,00910
Puotila,"4 h, avok, kph,...",kt,"80,00",292000,3650,1961,2/3,ei,hyvä,vuokra,D2018,Neljä huonetta tai enemmän,00910
Puotila,5h+k+kph+s+eril...,rt,"110,00",335000,3045,1966,-1/2,ei,tyyd.,vuokra,,Neljä huonetta tai enemmän,00910
Puotila,5-6h+k+s,kt,"122,50",395000,3224,1971,2/3,ei,tyyd.,oma,E2007,Neljä huonetta tai enemmän,00910
,4h+rt+avok+kph+...,ok,"95,00",517000,5442,2011,1/2,ei,hyvä,oma,D2018,Neljä huonetta tai enemmän,00910
Myylypuro,"1h, avok. kph, vh",kt,"28,50",106500,3737,1965,2/4,ei,hyvä,vuokra,F2013,Yksiöt,00920
Myllypuro,"1h, avokeitti&#...",kt,"28,00",147000,5250,2021,5/6,on,hyvä,vuokra,,Yksiöt,00920
Myllypuro,1h+kk,kt,"32,00",95000,2969,1977,2/6,on,hyvä,vuokra,D2013,Yksiöt,00920
Myllypuro,"1 h, avok, kph",kt,"28,00",95000,3393,1965,1/4,on,tyyd.,vuokra,E2018,Yksiöt,00920
Myllypuro,1h+k+kph,kt,"32,00",75000,2344,1977,,on,tyyd.,vuokra,D2007,Yksiöt,00920
Myllypuro,"2h, kk, kph, s,...",kt,"51,50",208000,4039,2010,2/5,on,hyvä,vuokra,D2013,Kaksiot,00920
